Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,AUT,173794000000.0,195078000000.0,190380000000.0,203535000000.0,241038000000.0,237251000000.0,212790000000.0,218260000000.0,217186000000.0,196800000000.0,197338000000.0,213378000000.0,261696000000.0,300904000000.0,315974000000.0,335999000000.0,388691000000.0,430294000000.0,400172000000.0,391893000000.0,431120000000.0,409425000000.0,430069000000.0,441885000000.0,382066000000.0,390800000000.0,417261000000.0,454991000000.0,444596000000.0,435049000000.0,479295000000.0,470942000000.0,516034000000.0
Belgium,BEL,211638000000.0,236038000000.0,225925000000.0,246195000000.0,289567000000.0,281358000000.0,254814000000.0,260602000000.0,260202000000.0,237905000000.0,237842000000.0,258860000000.0,319003000000.0,370885000000.0,387366000000.0,409813000000.0,471821000000.0,518626000000.0,484553000000.0,483548000000.0,527008000000.0,497884000000.0,520925000000.0,531076000000.0,455200000000.0,467956000000.0,502765000000.0,543299000000.0,535866000000.0,526022000000.0,600904000000.0,583614000000.0,632217000000.0
Bulgaria,BGR,10943548387.0,10350515464.0,10829710145.0,9697416974.0,13063422619.0,10109404160.0,11195630537.0,14630974778.0,13495062850.0,13148099185.0,14135393876.0,16360346654.0,21074775206.0,26094622564.0,29821662537.0,34304448150.0,44765733380.0,54409138498.0,51884481410.0,50610031136.0,57418391042.0,53903028252.0,55758744571.0,56732006512.0,50199117547.0,53237882473.0,59309748166.0,66370132238.0,68881010246.0,70368758395.0,84041493016.0,90346169915.0,101584000000.0
Cyprus,CYP,5770197348.0,6912150456.0,6590291048.0,7425703929.0,9826778784.0,9899623588.0,9594298746.0,10353506787.0,10614455232.0,10183317625.0,10567304189.0,11618269231.0,14576896942.0,17422375000.0,18703146375.0,20403713461.0,24077470572.0,27839460964.0,25942622951.0,25562251656.0,27427161523.0,25041372222.0,24084572491.0,23359294149.0,19676167240.0,20047013274.0,22946583375.0,25597301191.0,25947020102.0,25227189745.0,29482912835.0,29250532020.0,32229622669.0
Czech Republic,CZE,29675502270.0,34590052812.0,40614350197.0,47554674591.0,59775697061.0,66985765439.0,61792161168.0,66490372105.0,64867483193.0,61649492817.0,67523642262.0,81910771994.0,99627140274.0,119162000000.0,136281000000.0,155464000000.0,189227000000.0,235719000000.0,206180000000.0,207478000000.0,227948000000.0,207376000000.0,209402000000.0,207818000000.0,186830000000.0,195305000000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Germany,DEU,1861870000000.0,2123130000000.0,2068560000000.0,2205970000000.0,2591620000000.0,2503670000000.0,2218690000000.0,2243230000000.0,2199960000000.0,1949950000000.0,1950650000000.0,2079140000000.0,2505730000000.0,2819250000000.0,2861410000000.0,3002450000000.0,3439950000000.0,3752370000000.0,3418010000000.0,3417090000000.0,3757700000000.0,3543980000000.0,3752510000000.0,3890610000000.0,3375610000000.0,3477800000000.0,3690850000000.0,3974440000000.0,3889180000000.0,3887730000000.0,4278500000000.0,4082470000000.0,4456080000000.0
Denmark,DNK,139225000000.0,152916000000.0,143196000000.0,156162000000.0,185007000000.0,187632000000.0,173538000000.0,176992000000.0,177965000000.0,164159000000.0,164791000000.0,178635000000.0,218096000000.0,251373000000.0,264467000000.0,282885000000.0,319423000000.0,353361000000.0,321241000000.0,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,301298000000.0,306900000000.0,332121000000.0,356841000000.0,346499000000.0,354763000000.0,405688000000.0,400167000000.0,404199000000.0
Spain,ESP,575599000000.0,629202000000.0,523649000000.0,529122000000.0,612940000000.0,640998000000.0,588692000000.0,617042000000.0,633194000000.0,595403000000.0,625976000000.0,705146000000.0,906853000000.0,1069560000000.0,1157280000000.0,1264550000000.0,1479340000000.0,1635020000000.0,1499100000000.0,1431620000000.0,1488070000000.0,1336020000000.0,1361850000000.0,1376910000000.0,1197790000000.0,1237260000000.0,1313250000000.0,1421700000000.0,1394320000000.0,1278130000000.0,1445650000000.0,1417800000000.0,1580690000000.0
Estonia,EST,-1.0,-1.0,-1.0,-1.0,4373665146.0,4746109767.0,5066240419.0,5617109245.0,5726897998.0,5685774809.0,6245069734.0,7322069511.0,9833870709.0,12059201242.0,14006088297.0,16963625016.0,22237061730.0,24194039256.0,19652492637.0,19490936349.0,23170239901.0,23043864510.0,25137153149.0,26224622451.0,22566956982.0,23337907619.0,26924385103.0,30624720196.0,31290453294.0,31330419851.0,36864792512.0,37921480882.0,40744848828.0
Finland,FIN,127866000000.0,112625000000.0,89255751015.0,103322000000.0,134199000000.0,132099000000.0,126833000000.0,133936000000.0,135226000000.0,125540000000.0,129250000000.0,139553000000.0,171071000000.0,196768000000.0,204436000000.0,216553000000.0,255385000000.0,283742000000.0,251499000000.0,247800000000.0,273674000000.0,256706000000.0,269980000000.0,272609000000.0,232439000000.0,238503000000.0,255648000000.0,275708000000.0,268515000000.0,271886000000.0,296470000000.0,281887000000.0,300187000000.0
France,FRA,1275560000000.0,1408720000000.0,1330090000000.0,1401640000000.0,1609890000000.0,1614250000000.0,1460710000000.0,1510760000000.0,1500280000000.0,1368440000000.0,1382220000000.0,1500340000000.0,1848120000000.0,2124110000000.0,2203680000000.0,2325010000000.0,2663110000000.0,2923470000000.0,2693830000000.0,2646840000000.0,2862680000000.0,2681420000000.0,2808510000000.0,2849310000000.0,2433560000000.0,2465450000000.0,2595150000000.0,2790960000000.0,2728870000000.0,2647420000000.0,2959360000000.0,2779090000000.0,3030900000000.0
United Kingdom,GBR,1142800000000.0,1179660000000.0,1061390000000.0,1140490000000.0,1335220000000.0,1408780000000.0,1552480000000.0,1638510000000.0,1665620000000.0,1647950000000.0,1621510000000.0,1768410000000.0,2038400000000.0,2398560000000.0,2520700000000.0,2692610000000.0,3074360000000.0,2890560000000.0,2382830000000.0,2441170000000.0,2619700000000.0,2662090000000.0,2739820000000.0,3022830000000.0,2885570000000.0,2647900000000.0,2680150000000.0,2871340000000.0,2851410000000.0,2697810000000.0,3141510000000.0,3088840000000.0,3340030000000.0
Greece,GRC,105143000000.0,116225000000.0,108809000000.0,116602000000.0,136878000000.0,145862000000.0,143158000000.0,144428000000.0,142541000000.0,130134000000.0,136191000000.0,153831000000.0,201924000000.0,240521000000.0,247783000000.0,273318000000.0,318498000000.0,354461000000.0,330000000000.0,299362000000.0,287798000000.0,245671000000.0,239862000000.0,237030000000.0,195542000000.0,192691000000.0,199844000000.0,212049000000.0,205253000000.0,188480000000.0,214668000000.0,217581000000.0,238206000000.0
Croatia,HRV,-1.0,-1.0,-1.0,-1.0,22387561845.0,23678012697.0,23822087053.0,25432144406.0,23386945597.0,21774273832.0,23289671102.0,26878499206.0,34658113497.0,41574530816.0,45416358502.0,50453577898.0,60093155533.0,70481451814.0,62703095751.0,59665427465.0,62236751773.0,56485301967.0,57769872075.0,57080369368.0,48921877448.0,50714957391.0,56322449844.0,61861145806.0,61867157679.0,58221300898.0,69602166351.0,71997070660.0,82688842717.0
Hungary,HUN,34748508332.0,38724945368.0,40119073326.0,43160392124.0,46418916500.0,46659796773.0,47290180589.0,48770466839.0,49170434391.0,47310623887.0,53821315066.0,67716887203.0,85324771841.0,104067000000.0,113035000000.0,115295000000.0,139851000000.0,157998000000.0,130594000000.0,130923000000.0,140782000000.0,127857000000.0,135216000000.0,140118000000.0,122879000000.0,125817000000.0,143112000000.0,160566000000.0,164020000000.0,157289000000.0,182110000000.0,177006000000.0,212389000000.0
Ireland,IRL,49847127266.0,55985505159.0,52480251890.0,57166035689.0,69222624495.0,75880630040.0,82826141714.0,90082029831.0,98691939591.0,99853528745.0,109134000000.0,127945000000.0,164285000000.0,193870000000.0,211651000000.0,232086000000.0,269918000000.0,275020000000.0,236311000000.0,221951000000.0,239019000000.0,225572000000.0,239389000000.0,258099000000.0,290617000000.0,304819000000.0,337242000000.0,386693000000.0,398933000000.0,428609000000.0,513392000000.0,533140000000.0,545629000000.0
Italy,ITA,1242110000000.0,1315810000000.0,1061450000000.0,1095590000000.0,1170790000000.0,1308930000000.0,1239050000000.0,1266310000000.0,1248560000000.0,1141760000000.0,1162320000000.0,1266510000000.0,1569650000000.0,1798310000000.0,1852660000000.0,1942630000000.0,2203050000000.0,2390730000000.0,2185160000000.0,2125060000000.0,2276290000000.0,2072820000000.0,2130490000000.0,2151730000000.0,1832350000000.0,1858910000000.0,1961800000000.0,2091930000000.0,2011300000000.0,1897460000000.0,2154880000000.0,2066970000000.0,2254850000000.0
Lithuania,LTU,-1.0,-1.0,-1.0,-1.0,7870782261.0,8385109020.0,10120274493.0,11240360898.0,10972878636.0,11539211480.0,12252498921.0,14278357284.0,18802576988.0,22649930576.0,26125575942.0,30216060233.0,39738180077.0,47850551149.0,37440673478.0,37120517694.0,43476878139.0,42847900766.0,46473646002.0,48545251796.0,41402022148.0,42738875963.0,47758736932.0,53751411409.0,54808531641.0,56964942999.0,66798933786.0,71013953448.0,77836396963.0
Luxembourg,LUX,14321878795.0,16065740778.0,16486900187.0,18325791415.0,21588170498.0,21776609772.0,19731912494.0,20209122027.0,22235929043.0,21263514833.0,21272418792.0,23616328816.0,29557325056.0,34685281848.0,37347394603.0,42414308117.0,50888134410.0,55849686539.0,51370543206.0,53212476812.0,60004630234.0,56677961787.0,61739352212.0,66327344189.0,57784495265.0,58631324559.0,65712180343.0,71000359760.0,69890505324.0,73699366700.0,85584105994.0,81641807866.0,85755006124.0
Latvia,LVA,-1.0,-1.0,-1.0,-1.0,5788368511.0,5970044666.0,6525676264.0,7174985107.0,7533187605.0,7937758980.0,8350252966.0,9546441564.0,11748433157.0,14373269156.0,16922504045.0,21447021570.0,30901399261.0,35596016664.0,26169854045.0,23757368290.0,28223552825.0,28119996053.0,30314363219.0,31419072948.0,27009231911.0,27572698482.0,30483806018.0,34429023435.0,34225547537.0,34390910339.0,39443126174.0,40422521943.0,43627078481.0
Malta,MLT,2750041434.0,3021910217.0,2709178327.0,2998570147.0,3439931907.0,3570271558.0,3705372039.0,3923637971.0,4127313818.0,4306192436.0,4331870648.0,4689832690.0,5456583589.0,6062780269.0,6394851387.0,6757119558.0,7880509171.0,8977149553.0,8528202278.0,8741059603.0,9504797627.0,9203729739.0,10145944324.0,11217780149.0,10285547954.0,10999047580.0,13484541926.0,15404393365.0,16004563886.0,15249999048.0,18123718947.0,18357069273.0,20956999452.0
Netherlands,NLD,323320000000.0,358330000000.0,349038000000.0,374291000000.0,446529000000.0,445705000000.0,412199000000.0,432476000000.0,441975000000.0,412807000000.0,426574000000.0,465369000000.0,571863000000.0,650533000000.0,678534000000.0,726649000000.0,839420000000.0,936228000000.0,857933000000.0,836390000000.0,893757000000.0,828947000000.0,866680000000.0,879635000000.0,757999000000.0,777228000000.0,833870000000.0,914043000000.0,910194000000.0,909793000000.0,1029680000000.0,1009400000000.0,1118120000000.0
Poland,POL,85500935935.0,94337050693.0,96045645026.0,110803000000.0,142137000000.0,159943000000.0,159118000000.0,174388000000.0,169718000000.0,171886000000.0,190521000000.0,198681000000.0,217519000000.0,255102000000.0,306135000000.0,344826000000.0,429250000000.0,533816000000.0,440347000000.0,479258000000.0,528725000000.0,500284000000.0,524201000000.0,545076000000.0,477280000000.0,471364000000.0,524641000000.0,588780000000.0,596058000000.0,599443000000.0,681346000000.0,689763000000.0,811229000000.0
Portugal,PRT,89242382961.0,107603000000.0,95019103603.0,99698453261.0,118134000000.0,122630000000.0,117046000000.0,123982000000.0,127466000000.0,118358000000.0,121546000000.0,134229000000.0,164964000000.0,189187000000.0,197305000000.0,208567000000.0,240169000000.0,262008000000.0,243746000000.0,238303000000.0,244895000000.0,216368000000.0,226073000000.0,229630000000.0,199420000000.0,204837000000.0,221358000000.0,242313000000.0,239987000000.0,229032000000.0,255535000000.0,255197000000.0,287080000000.0
Romania,ROU,28998684211.0,25121666667.0,26362894737.0,30074440483.0,37662075750.0,37182938696.0,35838588170.0,41976002704.0,36183003978.0,37438527800.0,40716836998.0,46174557556.0,59867801205.0,76216441462.0,99697566668.0,123533000000.0,171537000000.0,208182000000.0,167423000000.0,167998000000.0,185363000000.0,171665000000.0,191549000000.0,199493000000.0,177911000000.0,187592000000.0,210147000000.0,243316000000.0,251018000000.0,251363000000.0,285810000000.0,298892000000.0,351003000000.0
Slovenia,SVN,-1.0,-1.0,-1.0,-1.0,21273055398.0,21480023017.0,20749140606.0,22125435372.0,22689994990.0,20342201356.0,20875387068.0,23563576758.0,29697448108.0,34470227454.0,36346974008.0,39587732029.0,48114688201.0,55589849128.0,50244793832.0,48013606745.0,51290792018.0,46352802766.0,48116256926.0,49904928335.0,43072415017.0,44708598649.0,48589100043.0,54177882426.0,54386654314.0,53734526854.0,61832201544.0,60063475466.0,68216781411.0
Sweden,SWE,270363000000.0,280312000000.0,209951000000.0,226080000000.0,264052000000.0,288104000000.0,264478000000.0,266800000000.0,270848000000.0,259802000000.0,239917000000.0,263926000000.0,331109000000.0,381705000000.0,389042000000.0,420032000000.0,487816000000.0,513966000000.0,429657000000.0,488378000000.0,563110000000.0,543881000000.0,578742000000.0,573818000000.0,497918000000.0,514460000000.0,541019000000.0,555455000000.0,533880000000.0,547054000000.0,639715000000.0,590410000000.0,593268000000.0
